customerid,age,salary,balance,marital,education,job,targeted,default,housing,loan,contact,day,month,duration,campaign,response
6712,31,20000,-443,single,primary,blue-collar,yes,no,yes,no,unknown,28,5,8.45,1,no
6713,28,20000,101,divorced,unknown,blue-collar,no,no,yes,no,unknown,28,5,2.1,4,no
6714,30,60000,2262,divorced,secondary,technician,yes,no,yes,no,unknown,28,5,1.7,2,no
6715,42,20000,54,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,4.47,1,no
6716,28,20000,0,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,6.43,1,no
6717,43,60000,50,married,secondary,technician,yes,no,no,no,unknown,28,5,1.05,1,no
6718,28,70000,40,single,secondary,services,yes,no,yes,no,unknown,28,5,5.22,2,no
6719,29,70000,308,married,secondary,services,yes,no,yes,no,unknown,28,5,1.25,1,no
6720,36,20000,21,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,1.48,1,no
6721,25,20000,1966,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.48,1,no
6722,28,20000,1,single,secondary,blue-collar,yes,no,no,no,unknown,28,5,3.02,1,no
6723,61,55000,1857,divorced,secondary,retired,yes,no,yes,no,unknown,28,5,2.88,4,no
6724,32,50000,-648,single,secondary,admin.,yes,no,yes,no,unknown,28,5,7.32,2,no
6725,29,100000,168,married,tertiary,management,yes,no,yes,no,unknown,28,5,1.98,1,no
6726,26,60000,876,married,secondary,technician,yes,no,yes,no,unknown,28,5,11.88,1,no
6727,29,20000,80,single,primary,blue-collar,yes,no,yes,no,unknown,28,5,11.3,1,no
6728,30,70000,-286,married,primary,services,yes,no,yes,no,unknown,28,5,3.37,1,no
6729,46,20000,-619,married,unknown,blue-collar,no,no,yes,no,unknown,28,5,1.6,1,no
6730,53,20000,-137,single,primary,blue-collar,yes,no,yes,yes,unknown,28,5,1.2,1,no
6731,28,20000,115,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,1.3,4,no
6732,27,60000,58,married,secondary,technician,yes,no,yes,no,unknown,28,5,1.37,1,no
6733,27,20000,1401,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,6.53,1,no
6734,25,70000,55,single,secondary,services,yes,no,yes,yes,unknown,28,5,3.62,1,no
6735,38,60000,1333,divorced,secondary,technician,yes,no,yes,yes,unknown,28,5,3.13,1,no
6736,40,20000,-90,divorced,secondary,blue-collar,yes,no,yes,no,unknown,28,5,2.17,1,no
6737,27,70000,3791,single,secondary,services,yes,no,yes,no,unknown,28,5,3.85,1,no
6738,50,20000,490,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.52,3,no
6739,47,20000,480,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.52,2,no
6740,60,20000,228,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,4.15,11,no
6741,45,20000,-320,married,unknown,blue-collar,no,no,yes,no,unknown,28,5,3.4,3,no
6742,29,60000,3672,single,secondary,self-employed,yes,no,yes,yes,unknown,28,5,20.17,1,no
6743,32,8000,-160,married,secondary,unemployed,yes,no,yes,no,unknown,28,5,0.45,1,no
6744,25,20000,207,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,11.33,1,no
6745,28,20000,916,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.43,1,no
6746,24,4000,3298,single,unknown,student,no,no,yes,no,unknown,28,5,3.78,1,no
6747,34,70000,1182,married,secondary,services,yes,no,yes,no,unknown,28,5,2.07,1,no
6748,50,20000,1203,married,primary,blue-collar,yes,no,yes,yes,unknown,28,5,1.1,7,no
6749,44,50000,72,married,secondary,admin.,yes,no,yes,yes,unknown,28,5,13.68,2,no
6750,29,20000,1171,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,9.42,2,no
6751,29,50000,36,married,secondary,admin.,yes,no,yes,no,unknown,28,5,2.1,1,no
6752,25,60000,1242,single,secondary,self-employed,yes,no,yes,no,unknown,28,5,10.25,2,yes
6753,44,120000,-20,married,secondary,entrepreneur,yes,no,no,no,unknown,28,5,2.78,3,no
6754,52,20000,310,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.52,4,no
6755,47,60000,970,married,secondary,technician,yes,no,yes,no,unknown,28,5,12.37,3,no
6756,35,60000,194,married,secondary,technician,yes,no,yes,no,unknown,28,5,2.23,1,no
6757,28,20000,6307,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,10.25,1,no
6758,32,100000,514,married,tertiary,management,yes,no,yes,no,unknown,28,5,8.28,2,no
6759,26,50000,-164,single,tertiary,admin.,no,no,yes,no,unknown,28,5,1.15,2,no
6760,57,100000,1566,married,primary,management,yes,no,no,no,unknown,28,5,1.75,4,no
6761,53,70000,-905,divorced,secondary,services,yes,no,yes,no,unknown,28,5,3.55,1,no
6762,29,70000,6,married,tertiary,services,yes,no,yes,no,unknown,28,5,2.38,2,no
6763,24,20000,674,single,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,4.9,1,no
6764,26,20000,230,single,primary,blue-collar,yes,no,yes,no,unknown,28,5,4.82,1,no
6765,29,100000,715,married,tertiary,management,yes,no,yes,no,unknown,28,5,7.68,1,no
6766,42,60000,-1310,married,secondary,technician,yes,no,yes,yes,unknown,28,5,2.7,1,no
6767,36,60000,1731,married,secondary,technician,yes,no,yes,yes,unknown,28,5,3.45,1,no
6768,26,60000,150,single,secondary,technician,yes,no,yes,no,unknown,28,5,3.6,1,no
6769,24,60000,288,single,secondary,technician,yes,no,yes,no,unknown,28,5,3.08,1,no
6770,29,100000,-158,single,tertiary,management,no,no,yes,no,unknown,28,5,6.65,1,no
6771,51,60000,511,single,secondary,technician,yes,no,yes,yes,unknown,28,5,1.12,2,no
6772,31,20000,1686,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,1.42,2,no
6773,29,100000,5980,single,tertiary,management,no,no,yes,no,unknown,28,5,5.28,1,no
6774,28,100000,292,married,secondary,management,yes,no,yes,no,unknown,28,5,8.45,1,yes
6775,23,70000,665,single,secondary,services,yes,no,yes,no,unknown,28,5,19.72,1,yes
6776,26,20000,396,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,5.03,1,no
6777,42,60000,570,married,secondary,technician,yes,no,yes,no,unknown,28,5,5.73,2,no
6778,40,50000,-541,divorced,secondary,admin.,yes,no,yes,yes,unknown,28,5,4.5,4,no
6779,28,20000,17,married,secondary,blue-collar,yes,no,no,no,unknown,28,5,0.13,4,no
6780,27,4000,16173,single,secondary,student,yes,no,yes,no,unknown,28,5,8.15,1,no
6781,25,50000,894,married,secondary,admin.,yes,no,yes,no,unknown,28,5,5.47,1,no
6782,29,60000,-397,single,secondary,technician,yes,yes,yes,no,unknown,28,5,1.9,1,no
6783,29,20000,231,single,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.03,1,no
6784,28,70000,281,single,secondary,services,yes,no,yes,no,unknown,28,5,3.35,1,no
6785,29,100000,112,single,tertiary,management,no,no,yes,yes,unknown,28,5,1.95,2,no
6786,24,70000,53,single,secondary,services,yes,no,yes,yes,unknown,28,5,3.77,1,no
6787,26,50000,677,single,secondary,admin.,yes,no,yes,no,unknown,28,5,1.55,1,no
6788,32,50000,294,single,secondary,admin.,yes,no,yes,no,unknown,28,5,1.62,2,no
6789,26,70000,1624,single,tertiary,services,no,no,yes,yes,unknown,28,5,7.3,1,no
6790,31,60000,449,single,primary,technician,yes,no,yes,no,unknown,28,5,2.9,1,no
6791,28,100000,1069,single,tertiary,management,no,no,no,no,unknown,28,5,11.25,1,no
6792,52,120000,8298,married,primary,entrepreneur,yes,no,yes,yes,unknown,28,5,2.05,18,no
6793,27,60000,1577,married,secondary,technician,yes,no,yes,yes,unknown,28,5,4.43,2,no
6794,38,20000,-579,married,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,3.25,2,no
6795,35,60000,59,single,tertiary,technician,no,no,yes,no,unknown,28,5,2.42,3,no
6796,38,60000,12,single,secondary,technician,yes,no,yes,no,unknown,28,5,2.5,2,no
6797,46,20000,1815,divorced,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.87,4,no
6798,32,100000,4307,married,tertiary,management,yes,no,yes,no,unknown,28,5,1.52,3,no
6799,39,20000,638,married,unknown,blue-collar,no,no,yes,yes,unknown,28,5,1.38,2,no
6800,29,50000,-526,married,secondary,admin.,yes,no,yes,no,unknown,28,5,5.23,2,no
6801,27,20000,294,single,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,11.57,2,yes
6802,28,70000,2954,single,secondary,services,yes,no,yes,no,unknown,28,5,2.48,2,no
6803,47,20000,578,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,2.43,1,no
6804,27,60000,811,married,unknown,technician,no,no,yes,no,unknown,28,5,9.85,2,no
6805,33,20000,7063,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,1.93,9,no
6806,30,100000,5288,single,tertiary,management,no,no,yes,no,unknown,28,5,4.8,3,no
6807,33,20000,580,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,0.6,1,no
6808,40,100000,384,married,tertiary,management,yes,no,no,no,unknown,28,5,3.18,2,no
6809,38,60000,61,married,secondary,technician,yes,no,yes,no,unknown,28,5,1.62,1,no
6810,32,50000,642,single,secondary,admin.,yes,no,yes,no,unknown,28,5,1.18,2,no
6811,36,20000,79,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,4.58,2,no
6812,30,70000,586,married,secondary,services,yes,no,yes,no,unknown,28,5,3.12,4,no
6813,38,120000,61,married,secondary,entrepreneur,yes,no,yes,yes,unknown,28,5,2.83,5,no
6814,25,70000,3217,single,secondary,services,yes,no,yes,no,unknown,28,5,0.4,1,no
6815,28,20000,1020,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,4.18,1,no
6816,55,20000,-317,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.53,1,no
6817,57,100000,-22,married,tertiary,management,yes,no,yes,no,unknown,28,5,7.72,1,no
6818,31,20000,158,divorced,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.62,1,no
6819,31,70000,-327,married,secondary,services,yes,no,yes,no,unknown,28,5,6.8,1,no
6820,38,60000,218,single,tertiary,technician,no,no,yes,yes,unknown,28,5,1.23,2,no
6821,28,60000,183,single,tertiary,technician,no,no,yes,yes,unknown,28,5,1.03,2,no
6822,23,60000,1129,single,tertiary,technician,no,no,yes,no,unknown,28,5,13.43,1,yes
6823,45,20000,554,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,2.98,2,no
6824,46,60000,57,married,secondary,technician,yes,no,no,no,unknown,28,5,13.27,1,yes
6825,40,100000,-240,married,secondary,management,yes,no,no,yes,unknown,28,5,2.67,3,no
6826,29,70000,11417,married,secondary,services,yes,no,yes,no,unknown,28,5,4.53,2,no
6827,30,50000,-171,married,primary,admin.,yes,no,yes,no,unknown,28,5,2.08,2,no
6828,31,50000,-449,single,secondary,admin.,yes,no,yes,no,unknown,28,5,1.35,2,no
6829,56,55000,228,married,unknown,retired,no,no,yes,no,unknown,28,5,4.93,1,no
6830,39,8000,-53,single,secondary,unemployed,yes,no,yes,no,unknown,28,5,3.15,3,no
6831,29,50000,175,single,unknown,admin.,no,no,no,no,unknown,28,5,9.95,3,no
6832,44,60000,1196,married,secondary,technician,yes,no,yes,yes,unknown,28,5,1.02,1,no
6833,28,50000,419,single,secondary,admin.,yes,no,yes,no,unknown,28,5,2.63,2,no
6834,26,100000,2692,single,tertiary,management,no,no,no,no,unknown,28,5,2.65,2,no
6835,41,20000,2835,single,unknown,blue-collar,no,no,yes,no,unknown,28,5,0.88,1,no
6836,31,70000,-779,single,secondary,services,yes,no,yes,no,unknown,28,5,3.3,2,no
6837,29,50000,26,married,tertiary,admin.,yes,no,yes,no,unknown,28,5,0.75,1,no
6838,33,20000,-112,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,2.2,1,no
6839,23,4000,854,single,unknown,student,no,no,yes,no,unknown,28,5,11.07,2,yes
6840,50,50000,3636,married,secondary,admin.,yes,no,no,no,unknown,28,5,4.83,1,no
6841,27,70000,9636,single,secondary,services,yes,no,yes,no,unknown,28,5,3.07,2,no
6842,45,20000,446,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,0.85,1,no
6843,50,60000,59,divorced,tertiary,self-employed,no,no,yes,no,unknown,28,5,1.12,2,no
6844,41,20000,1621,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,1.98,1,no
6845,44,100000,0,married,tertiary,management,yes,no,yes,no,unknown,28,5,4.33,1,no
6846,56,55000,-299,married,primary,retired,yes,no,yes,no,unknown,28,5,1.13,1,no
6847,26,8000,70,married,primary,unemployed,yes,no,yes,no,unknown,28,5,1.65,2,no
6848,34,50000,7,single,secondary,admin.,yes,yes,no,no,unknown,28,5,4.75,2,no
6849,33,20000,-366,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,1.35,4,no
6850,30,20000,-518,married,primary,blue-collar,yes,no,yes,yes,unknown,28,5,4.07,6,no
6851,47,100000,490,married,secondary,management,yes,no,yes,no,unknown,28,5,3.78,1,no
6852,26,50000,714,married,secondary,admin.,yes,no,yes,no,unknown,28,5,3.05,1,no
6853,26,20000,3529,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,1.67,2,no
6854,51,60000,98,married,secondary,technician,yes,no,yes,no,unknown,28,5,3.8,2,no
6855,57,55000,0,married,tertiary,retired,yes,no,yes,yes,unknown,28,5,10.8,1,yes
6856,33,20000,529,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.3,3,no
6857,30,20000,397,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,8.93,7,no
6858,40,8000,557,married,primary,unemployed,yes,no,yes,no,unknown,28,5,2.88,1,no
6859,53,20000,314,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.07,2,no
6860,27,70000,1636,single,secondary,services,yes,no,yes,no,unknown,28,5,4.7,2,no
6861,57,20000,1502,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,4.48,2,no
6862,45,100000,-1655,married,tertiary,management,yes,yes,yes,no,unknown,28,5,5.55,2,no
6863,36,100000,428,married,tertiary,management,yes,no,no,no,unknown,28,5,2.02,1,no
6864,39,20000,7304,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,3.6,1,no
6865,28,60000,1536,single,secondary,technician,yes,no,yes,no,unknown,28,5,5.78,2,no
6866,34,60000,1246,married,secondary,technician,yes,no,no,no,unknown,28,5,1.47,3,no
6867,29,60000,344,married,secondary,technician,yes,no,yes,yes,unknown,28,5,4.65,2,no
6868,51,60000,271,married,secondary,technician,yes,no,yes,no,unknown,28,5,4.9,3,no
6869,29,100000,293,single,secondary,management,yes,no,yes,no,unknown,28,5,3.13,2,no
6870,32,50000,562,single,secondary,admin.,yes,no,yes,no,unknown,28,5,1.93,6,no
6871,36,100000,302,single,secondary,management,yes,no,no,no,unknown,28,5,1,6,no
6872,50,60000,-568,married,secondary,technician,yes,no,yes,yes,unknown,28,5,14.33,2,no
6873,42,100000,479,married,tertiary,management,yes,no,yes,no,unknown,28,5,3.62,2,no
6875,34,100000,1058,single,tertiary,management,no,no,yes,no,unknown,28,5,14.4,2,yes
6876,33,60000,839,divorced,tertiary,technician,no,no,yes,no,unknown,28,5,7.82,3,no
6877,29,60000,22008,single,secondary,technician,yes,no,yes,no,unknown,28,5,2.32,2,no
6878,44,20000,-73,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,1.33,9,no
6879,25,120000,-65,single,primary,entrepreneur,yes,no,yes,no,unknown,28,5,2.15,2,no
6880,26,20000,407,married,unknown,blue-collar,no,no,yes,no,unknown,28,5,5.77,2,no
6881,53,100000,490,married,tertiary,management,yes,no,yes,no,unknown,28,5,1.72,2,no
6882,45,20000,156,married,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,0.78,1,no
6883,37,100000,655,married,tertiary,management,yes,no,no,no,unknown,28,5,4.07,3,no
6884,43,20000,-504,married,secondary,blue-collar,yes,yes,yes,no,unknown,28,5,2.27,1,no
6885,38,60000,279,married,secondary,self-employed,yes,no,yes,no,unknown,28,5,1.83,5,no
6886,31,50000,-310,married,unknown,admin.,no,yes,yes,no,unknown,28,5,7.22,3,no
6887,38,70000,-314,married,secondary,services,yes,no,yes,no,unknown,28,5,1.1,2,no
6888,32,70000,-233,single,tertiary,services,no,no,yes,no,unknown,28,5,2.33,2,no
6889,24,20000,327,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,5.55,2,no
6890,34,50000,1103,single,secondary,admin.,yes,no,yes,no,unknown,28,5,1.48,1,no
6891,43,100000,373,married,secondary,management,yes,no,yes,no,unknown,28,5,0.9,1,no
6892,40,60000,-312,married,secondary,technician,yes,no,yes,no,unknown,28,5,3.3,1,no
6893,55,55000,2193,married,secondary,retired,yes,no,yes,yes,unknown,28,5,1.2,3,no
6894,34,70000,24,married,secondary,services,yes,no,yes,no,unknown,28,5,2.07,1,no
6895,35,20000,105,divorced,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,1.97,1,no
6896,59,60000,0,married,secondary,technician,yes,no,yes,yes,unknown,28,5,1.82,1,no
6897,50,50000,330,single,secondary,admin.,yes,no,yes,no,unknown,28,5,0.4,1,no
6898,55,20000,284,married,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,2.62,3,no
6899,29,50000,445,married,secondary,admin.,yes,no,yes,no,unknown,28,5,8.15,2,no
6900,32,70000,172,married,secondary,services,yes,no,yes,no,unknown,28,5,1.4,3,no
6901,27,100000,1995,single,tertiary,management,no,no,yes,no,unknown,28,5,3.98,2,no
6902,36,100000,771,married,tertiary,management,yes,no,yes,no,unknown,28,5,5.95,1,no
6903,33,50000,393,married,secondary,admin.,yes,no,yes,no,unknown,28,5,6.38,1,no
6904,32,50000,-421,married,tertiary,admin.,yes,no,yes,yes,unknown,28,5,1.68,2,no
6905,48,100000,99,married,secondary,management,yes,no,yes,no,unknown,28,5,5.73,1,no
6906,47,50000,-480,divorced,secondary,admin.,yes,no,no,no,unknown,28,5,6,1,no
6907,36,100000,10,married,secondary,management,yes,no,no,yes,unknown,28,5,5.17,2,no
6908,29,100000,8089,married,tertiary,management,yes,no,yes,no,unknown,28,5,5.23,2,no
6909,35,100000,73,single,secondary,management,yes,no,yes,no,unknown,28,5,1.32,2,no
6910,48,20000,134,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,5.25,2,no
6911,29,50000,5605,married,secondary,admin.,yes,no,yes,no,unknown,28,5,1.95,2,no
6912,28,70000,3331,single,secondary,services,yes,no,yes,no,unknown,28,5,3.82,2,no
6913,27,60000,5214,single,tertiary,self-employed,no,no,yes,no,unknown,28,5,1.57,1,no
6914,51,70000,-245,divorced,secondary,services,yes,no,yes,yes,unknown,28,5,10.2,2,no
6915,40,60000,-89,single,tertiary,technician,no,no,yes,no,unknown,28,5,1.38,4,no
6916,60,55000,170,married,primary,retired,yes,no,yes,no,unknown,28,5,5.63,2,no
6917,28,60000,1417,single,secondary,technician,yes,no,yes,no,unknown,28,5,8.18,1,no
6918,42,100000,4264,single,tertiary,management,no,no,yes,no,unknown,28,5,14.7,1,no
6919,28,4000,949,single,secondary,student,yes,no,yes,no,unknown,28,5,28.83,1,yes
6920,27,50000,242,single,secondary,admin.,yes,no,yes,yes,unknown,28,5,1.38,1,no
6921,33,50000,-258,single,primary,admin.,yes,no,yes,no,unknown,28,5,3.22,2,no
6922,34,120000,105,married,tertiary,entrepreneur,yes,no,yes,no,unknown,28,5,4.15,2,no
6923,29,20000,1280,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,10.48,2,no
6924,34,20000,504,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,4.33,2,no
6925,31,100000,-160,single,tertiary,management,no,no,yes,no,unknown,28,5,3.37,2,no
6926,31,50000,1306,single,secondary,admin.,yes,no,yes,no,unknown,28,5,3.62,5,no
6927,36,20000,3254,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,5,3,no
6928,26,20000,419,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,1.57,3,no
6929,34,20000,-58,married,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,2.62,2,no
6930,30,120000,2926,married,secondary,entrepreneur,yes,no,yes,no,unknown,28,5,3.97,8,no
6931,33,100000,-61,single,tertiary,management,no,no,no,no,unknown,28,5,0.83,2,no
6932,39,50000,22,divorced,secondary,admin.,yes,no,no,no,unknown,28,5,2.02,3,no
6933,45,70000,-36,married,secondary,services,yes,no,yes,yes,unknown,28,5,6.48,4,no
6934,35,100000,137,single,unknown,management,no,no,no,no,unknown,28,5,11.12,3,no
6935,25,20000,2428,divorced,secondary,blue-collar,yes,no,yes,no,unknown,28,5,6.27,4,no
6936,57,50000,100,married,secondary,admin.,yes,no,no,no,unknown,28,5,0.38,16,no
6937,54,55000,24,married,secondary,retired,yes,no,yes,no,unknown,28,5,6.73,1,no
6938,30,4000,2030,single,tertiary,student,no,no,yes,no,unknown,28,5,0.45,2,no
6939,26,4000,0,single,tertiary,student,no,no,yes,no,unknown,28,5,2.07,1,no
6940,33,60000,-409,single,secondary,technician,yes,no,yes,no,unknown,28,5,1.6,1,no
6941,26,60000,855,single,secondary,technician,yes,no,yes,no,unknown,28,5,1.45,2,no
6942,53,50000,614,married,secondary,admin.,yes,no,yes,no,unknown,28,5,2.1,2,no
6943,35,50000,3,single,secondary,admin.,yes,no,yes,no,unknown,28,5,5.5,5,no
6944,27,60000,648,single,secondary,technician,yes,no,yes,no,unknown,28,5,3.3,3,no
6945,35,60000,935,single,tertiary,self-employed,no,no,yes,no,unknown,28,5,4.32,2,no
6946,39,70000,695,married,secondary,services,yes,no,yes,no,unknown,28,5,7.15,10,no
6947,32,50000,73,single,secondary,admin.,yes,no,yes,no,unknown,28,5,9.08,1,no
6948,31,20000,1039,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,0.73,7,no
6949,34,100000,-304,married,tertiary,management,yes,no,yes,no,unknown,28,5,4.65,2,no
6950,38,20000,241,single,unknown,blue-collar,no,no,yes,no,unknown,28,5,2.87,2,no
6951,39,100000,133,divorced,tertiary,management,no,no,yes,no,unknown,28,5,2.27,2,no
6952,46,50000,1328,married,secondary,admin.,yes,no,yes,no,unknown,28,5,1.37,6,no
6953,29,20000,0,single,secondary,blue-collar,yes,no,yes,no,unknown,28,5,5.4,4,no
6954,47,70000,-288,divorced,secondary,services,yes,no,yes,no,unknown,28,5,1.78,7,no
6955,53,100000,3443,married,tertiary,management,yes,no,yes,no,unknown,28,5,0.8,2,no
6956,29,100000,415,divorced,tertiary,management,no,no,yes,yes,unknown,28,5,7.48,4,no
6957,58,55000,255,married,secondary,retired,yes,no,no,no,unknown,28,5,6.03,3,no
6958,34,60000,6,married,secondary,technician,yes,no,yes,no,unknown,28,5,1.65,2,no
6959,26,20000,-284,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3.45,3,no
6960,31,100000,305,single,tertiary,management,no,no,yes,no,unknown,28,5,4.95,14,no
6961,55,20000,81,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.87,1,no
6962,30,20000,2607,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.63,10,no
6963,29,20000,201,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,3,2,no
6964,44,60000,265,married,secondary,technician,yes,no,yes,no,unknown,28,5,7.55,2,no
6965,33,20000,625,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,6.83,1,no
6966,42,20000,1134,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,7.07,3,no
6967,57,0,327,married,unknown,unknown,no,no,yes,no,unknown,28,5,1.23,2,no
6968,38,60000,-1350,married,tertiary,technician,yes,no,yes,yes,unknown,28,5,1.6,4,no
6969,22,20000,3198,single,primary,blue-collar,yes,no,yes,no,unknown,28,5,1.82,2,no
6970,36,20000,2176,single,primary,blue-collar,yes,no,yes,no,unknown,28,5,0.87,2,no
6971,39,20000,-310,married,primary,blue-collar,yes,no,yes,yes,unknown,28,5,0.43,5,no
6972,45,70000,692,married,secondary,services,yes,no,yes,no,unknown,28,5,8.43,2,no
6973,35,20000,4366,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.88,3,no
6974,22,70000,35,single,primary,services,yes,no,yes,no,unknown,28,5,1.77,3,no
6975,56,100000,442,divorced,tertiary,management,no,no,no,no,unknown,28,5,1.28,3,no
6976,31,100000,44,single,tertiary,management,no,no,no,no,unknown,28,5,1.58,2,no
6977,51,60000,0,divorced,secondary,technician,yes,no,yes,no,unknown,28,5,7.72,2,no
6978,37,70000,223,single,tertiary,services,no,no,yes,no,unknown,28,5,0.42,1,no
6979,32,60000,92,single,tertiary,technician,no,no,yes,no,unknown,28,5,1.93,1,no
6980,39,70000,-971,married,secondary,services,yes,no,yes,yes,unknown,28,5,1.73,2,no
6981,32,60000,1307,single,secondary,technician,yes,no,yes,no,unknown,28,5,4.45,2,no
6982,30,70000,179,married,secondary,services,yes,no,yes,no,unknown,28,5,1.07,1,no
6983,31,20000,1117,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,5.67,3,no
6984,51,100000,-461,single,unknown,management,no,no,yes,no,unknown,28,5,0.55,2,no
6985,27,70000,5883,single,tertiary,services,no,no,yes,no,unknown,28,5,5.42,2,no
6986,33,20000,-342,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,8.8,2,no
6987,24,70000,1385,single,tertiary,services,no,no,yes,no,unknown,28,5,21.28,2,no
6988,52,20000,-211,married,primary,blue-collar,yes,no,yes,yes,unknown,28,5,2.55,2,no
6989,39,20000,2612,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,6.05,4,no
6990,31,20000,124,single,primary,blue-collar,yes,no,yes,no,unknown,28,5,6.85,3,no
6991,33,50000,-675,married,secondary,admin.,yes,yes,yes,no,unknown,28,5,4.08,2,no
6992,27,100000,3104,single,tertiary,management,no,no,yes,no,unknown,28,5,2.67,2,no
6993,44,60000,398,married,secondary,technician,yes,no,yes,no,unknown,28,5,2.33,5,no
6994,56,60000,77,divorced,secondary,technician,yes,no,yes,yes,unknown,28,5,0.42,2,no
6995,50,60000,2706,divorced,unknown,technician,no,no,yes,no,unknown,28,5,2.98,3,no
6996,54,100000,192,divorced,tertiary,management,no,no,yes,no,unknown,28,5,2.62,3,no
6997,33,50000,957,married,tertiary,admin.,yes,no,yes,no,unknown,28,5,6.02,4,no
6998,51,20000,593,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,2.62,2,no
6999,32,100000,1493,single,tertiary,management,no,no,yes,no,unknown,28,5,1.08,11,no
7000,32,20000,0,married,secondary,blue-collar,yes,no,yes,no,unknown,28,5,6.43,3,no
7001,35,20000,51,married,primary,blue-collar,yes,no,yes,no,unknown,28,5,9.88,2,no
7002,47,60000,-938,married,secondary,technician,yes,no,yes,no,unknown,28,5,2.93,2,no
7003,49,20000,457,married,secondary,blue-collar,yes,no,yes,yes,unknown,28,5,3.15,2,no
7004,54,60000,337,married,tertiary,technician,yes,yes,yes,no,unknown,28,5,5.03,2,no
7005,31,50000,1531,single,tertiary,admin.,no,no,yes,no,unknown,28,5,0.8,5,no
7006,26,70000,33,married,secondary,services,yes,no,yes,no,unknown,28,5,0.85,4,no
7007,42,60000,0,divorced,secondary,technician,yes,no,yes,no,unknown,28,5,7.85,2,no
7008,45,60000,5336,single,tertiary,technician,no,no,no,no,unknown,28,5,1.65,2,no
7009,36,60000,947,married,secondary,technician,yes,yes,yes,no,unknown,28,5,7.53,2,no
7010,40,50000,2,married,secondary,admin.,yes,no,no,no,unknown,28,5,3.12,3,no
7011,45,50000,935,married,secondary,admin.,yes,no,yes,yes,unknown,28,5,0.37,7,no
7012,27,100000,731,single,tertiary,management,no,no,yes,no,unknown,28,5,5.58,2,no
